Player ranking,       Player,        Team ,        Apps,          Min,           G,           A,          xG,           xA,         xG90,         xA90,           M,           W,            D,            L,          GF,          GA,         PTS,     xG_Team,   xGA_Team,   xPTS_Team
1,Robert lewandowski,Barcelona,25,2043,21,2,22.59,2.37,1,0.1,26,18,3,5,71,25,57,69.36,29.65,57.78
2,Kylian Mbappe-Lottin,Real Madrid,25,2181,18,3,20.39,6.64,0.84,0.27,27,17,6,4,57,26,57,60.95,28.93,53.57
3,Ante Budimir,Osasuna,26,2026,14,2,12.82,1.57,0.57,0.07,26,7,12,7,32,37,33,31.23,40.88,28.94
4,Oihan Sancet,Athletic Club,21,1387,13,1,9.21,1.27,0.6,0.08,27,13,10,4,45,24,49,46.72,28.5,49.44
5,Raphinha,Barcelona,25,2097,13,7,14.35,11.38,0.62,0.49,26,18,3,5,71,25,57,69.36,29.65,57.78
6,Ayoze Perez,Villarreal,19,1167,11,0,9.48,1.77,0.73,0.14,26,12,8,6,48,36,44,53.53,33.29,46.66
7,Kike Garcia,Alves,26,1798,11,0,7.44,0.72,0.37,0.04,27,6,8,13,30,40,26,333.33,38.4,34.89
8,Dodi Lukebakio,Sevilla,27,2275,11,1,7.3,3.37,0.29,0.04,27,9,9,9,32,36,36,31.21,38.5,32.4
9,Alexander SÃ¸rloth,Atletic Madrid,24,969,10,2,10.9,1.19,1.01,0.11,27,16,8,3,44,18,56,49.33,28.5,46.66
10,Vinicius Junior,Real Madrid,21,1737,10,5,10.29,5.72,0.53,0.3,27,17,6,4,57,26,57,60.95,28.93,53.57
11,Julian Alvarez,Atletic Madrid,25,1698,9,2,8.5,3.48,0.45,0.18,25,15,8,2,42,16,56,46.3,25.22,46.69
12,Antoine Griezmann,Atletic Madrid,25,1835,8,5,6.84,6.16,0.34,0.3,25,15,8,2,42,16,56,46.3,25.22,46.69
13,Iago Aspas,Celta Vigo,18,1261,8,3,6.8,3.22,0.49,0.23,25,9,5,11,36,38,32,37.07,32.17,37.85
14,Sandro Ramirez,Las Palmas,21,1518,8,3,3.06,2.55,0.18,0.15,26,6,6,14,30,44,24,26.9,54.72,20.13
15, Javi Puado,Espanyol,32,1982,8,1,6.98,1.15,0.32,0.05,25,7,6,12,24,36,27,24.41,42.87,23.88
16,Thierno Barry,Villarreal,24,1549,8,3,12.02,2.55,0.7,0.15,25,12,8,5,48,35,44,50.89,32.07,46.12
17,Giovani Lo Celso,Real Betis,16,1032,7,1,4.22,3.25,0.37,0.28,25,9,8,8,32,32,35,41.01,33.08,39.97
18,Hugo Duro,Valencia,22,1716,7,2,6.93,1.37,0.36,0.07,25,5,8,12,25,41,23,29.11,39.92,29.89
19,Fabio Silva,Las Palmas,18,1369,7,2,7.34,1.28,0.48,0.08,26,6,6,14,30,44,24,26.9,54.72,20.13
20,Jude Bellingham,Real Madrid,20,1653,7,6,8.41,2.88,0.46,0.16,25,16,6,3,54,23,54,58.3,25.49,51.37
21,Mauro Arambarri,Getafe,23,1625,6,0,5.23,0.35,0.29,0.02,25,7,9,9,21,20,30,25.81,34.48,28.91
22,Gorka Guruzeta,Athletic Club,24,1217,6,2,4.76,1.01,0.35,0.07,25,13,9,3,44,22,48,44.24,25.46,44.39
23,Rodrygo,Real Madrid,22,1520,6,5,4.09,3.83,0.24,0.23,25,16,6,3,54,23,54,58.3,25.49,51.37
24,Dani Olmo,Barcelona,15,748,6,0,3.28,2.4,0.4,0.29,25,17,3,5,67,25,54,65.72,29.65,54.81
25,Alex Baena ,Villarreal,23,1944,6,7,5.44,9.15,0.25,0.42,25,12,8,5,48,35,44,50.89,32.07,46.12
26,Vedat Muriqi,Mallorca,20,1452,6,2,7.57,2.38,0.47,0.15,25,10,5,10,24,31,35,31.17,32.52,35.36
27,Inaki Williams,Athletic Club,24,2025,5,8,6.68,7.51,0.3,0.33,25,13,9,3,44,22,48,44.24,25.46,44.39
28,Borja Iglesias,Celta Vigo,25,1331,5,0,6.68,1.13,0.45,0.08,25,9,5,11,36,38,32,37.07,32.17,37.85
29,Alex Berenguer,Athletic Club,24,1464,5,6,6.28,4.8,0.39,0.3,25,13,9,3,44,22,48,44.24,25.46,44.39
30,Federico Valverde ,Real Madrid,24,2107,5,3,1.15,3.33,0.05,0.14,25,16,6,3,54,23,54,58.3,25.46,51.37
31,Ferran Torres,Barcelona,18,642,5,2,4.96,1.75,0.7,0.25,25,17,3,5,67,25,54,65.72,29.65,54.81
32,Takefusa Kubo,Real Sociedad,24,1555,5,0,3.17,3.31,0.18,0.19,25,10,4,11,23,23,34,31.1,29.68,35.13
33,Cyle Larin,Mallorca,21,1248,5,2,5.49,1.46,0.4,0.11,25,10,5,10,24,31,35,31.17,32.52,35.36
34,Lamine Yamal,Barcelona,22,1810,5,11,6.94,9.19,0.34,0.46,25,17,3,5,67,25,54,65.72,29.65,54.81
35,Cristhian Stuani,Girona,19,424,4,2,5.06,0.24,1.07,0.05,25,9,4,12,32,37,31,32.61,36.28,32.86
36,Joan Jordan,Alaves,14,748,4,2,2.76,1.59,0.33,0.19,25,5,7,13,28,39,22,30.48,33.93,33.25
37,Mikel Oyarzabal,Real Sociedad,23,1491,4,2,5.67,2.67,0.34,0.16,25,10,4,11,23,23,34,31.1,29.68,35.13
38,Borja Mayoral ,Getafe,11,358,4,0,2.93,0.61,0.74,0.15,25,7,9,9,21,20,30,25.81,34.48,28.91
39,Isco ,Real Betis,10,717,4,1,3.22,1.58,0.4,0.2,25,9,8,8,32,32,35,41.01,33.08,39.97
40,Juan Cruz,Leganes,24,1569,4,1,1.75,2.06,0.1,0.12,25,5,9,11,22,38,24,22.09,44.97,21.09
41,Abel Ruiz,Girona,17,1141,4,0,4.88,0.31,0.38,0.02,25,9,4,12,32,37,31,32.61,36.28,32.86
42,Dani Rodriguez,Mallorca,25,1523,4,5,3.01,3.22,0.18,0.19,25,10,5,10,24,31,35,31.17,32.52,35.36
43,Luis Rioja,Valencia,25,2021,4,1,3.66,2.74,0.16,0.12,25,5,8,12,25,41,23,29.11,39.92,29.89
44,Jorge De Frutos,Real Vallecano,25,1812,4,3,4.96,3.47,0.25,0.17,25,9,8,8,27,26,35,34.23,35.5,33.43
45,Juanlu Sanchez,Sevilla,20,1036,4,3,2.56,1.15,0.22,0.1,25,8,8,9,30,35,32,29.39,35.11,30.85
46,Pedri,Barcelona,24,1900,4,3,2.11,4.98,0.1,0.24,25,17,3,5,67,25,54,65.72,29.65,54.81
47,Hugo Alvarez,Celta Vigo,22,1382,4,2,2.53,1.05,0.16,0.07,25,9,5,11,36,38,32,37.07,32.17,37.85
48,Pablo Duran,Celta Vigo,15,817,4,2,2.52,2,0.28,0.22,25,9,5,11,36,38,32,37.07,32.17,37.85
49,Alberto Moleiro ,Las Palmas,25,1938,4,0,4.56,2.45,0.21,0.11,26,6,6,14,30,44,24,26.9,54.72,20.13
50,Vitor Roque,Real Betis,22,1252,4,0,6.07,1.75,0.44,0.13,25,9,8,8,32,32,35,41.01,33.08,39.97
51,Rodrigo de Paul,Atletic Madrid,23,1369,3,3,1.26,4.33,0.08,0.28,25,15,8,2,42,16,56,46.3,25.22,46.69
52,Gerard Moreno ,Villarreal,12,599,3,1,3.9,2.97,0.59,0.45,25,12,8,5,48,35,44,50.89,32.07,46.12
53,Angel Correa,Atletic Madrid,23,564,3,1,4.59,1.08,0.73,0.17,25,15,8,2,42,16,56,46.3,25.22,46.69
54,Daniel Parejo,Villarreal,23,1508,3,1,2.37,0.5,0.14,0.03,25,12,8,5,48,35,44,50.89,32.07,46.12
55,Mamadou Sylla,Real Valladolid,19,1041,3,1,3.37,0.73,0.29,0.06,26,4,4,18,17,60,16,23.14,51.51,23.13
56,Unai Lopez,Rayo Vallecano,20,1147,3,0,1.31,0.35,0.1,0.03,25,9,8,8,27,26,35,34.23,35.5,33.43
57,Alex Munoz,Las Palmas,16,1178,3,0,1.06,0.45,0.08,0.03,26,6,6,14,30,44,24,26.9,54.72,20.13
58,Raba,Leganes,17,1044,3,4,3.57,3.36,0.31,0.29,25,5,9,11,22,38,24,22.09,44.97,21.09
59,Brais Mendez,Real Sociedad,21,1275,3,1,3.49,1.96,0.25,0.14,25,10,4,11,23,23,34,31.1,29.68,35.13
60,Antinio Martinez,Alaves,20,720,3,0,2.69,0.61,0.34,0.08,25,5,7,13,28,39,22,30.48,33.93,33.25